Country;kg_year;cups_year;cups_day;
 Finland;12,00;3000;8,2;
 Norway;9,90;2475;6,8;
 Iceland;9,00;2250;6,2;
 Denmark;8,70;2175;6;
 Netherlands;8,40;2100;5,8;
 Sweden;8,20;2050;5,6;
 Switzerland;7,90;1975;5,4;
 Belgium;6,80;1700;4,7;
 Canada;6,50;1625;4,5;
 Bosnia and Herzegovina;6,20;1550;4,2;
 Austria;6,10;1525;4,2;
 Italy;5,90;1475;4;
 Lithuania;5,80;1450;4;
 Brazil;5,80;1450;4;
 Germany;5,50;1375;3,8;
 Greece;5,50;1375;3,8;
 France;5,40;1350;3,7;
 Croatia;5,10;1275;3,5;
 Cyprus;4,90;1225;3,4;
 Lebanon;4,80;1200;3,3;
 Serbia;4,50;1125;3,1;
 Spain;4,50;1125;3,1;
 Estonia;4,50;1125;3,1;
 Portugal;4,30;1075;2,9;
 United States;4,20;1050;2,9;
 Macedonia;4,20;1050;2,9;
 Slovenia;4,10;1025;2,8;
 Slovakia;4,00;1000;2,7;
 Czech Republic;4,00;1000;2,7;
 Brunei;4,00;1000;2,7;
 Honduras;3,90;975;2,7;
 Costa Rica;3,80;950;2,6;
 Israel;3,80;950;2,6;
 New Zealand;3,70;925;2,5;
 Algeria;3,50;875;2,4;
 Ireland;3,50;875;2,4;
 Latvia;3,40;850;2,3;
 Gibraltar;3,40;850;2,3;
 Japan;3,30;825;2,3;
 Bermuda;3,30;825;2,3;
 Hungary;3,10;775;2,1;
 Australia;3,00;750;2,1;
 Bulgaria;2,90;725;2;
 United Kingdom;2,80;700;1,9;
 Poland;2,40;600;1,6;
 Romania;2,30;575;1,6;
 Malta;2,30;575;1,6;
 Dominican Republic;2,30;575;1,6;
 Qatar;2,20;550;1,5;
 Haiti;2,10;525;1,4;
 Nicaragua;2,00;500;1,4;
 El Salvador;1,90;475;1,3;
 Jordan;1,90;475;1,3;
 South Korea;1,80;450;1,2;
 Colombia;1,80;450;1,2;
 Russia;1,70;425;1,2;
 Venezuela;1,60;400;1,1;
 Saudi Arabia;1,60;400;1,1;
 Kuwait;1,60;400;1,1;
 Albania;1,60;400;1,1;
 Ukraine;1,40;350;1;
 Madagascar;1,40;350;1;
 Laos;1,40;350;1;
 Armenia;1,40;350;1;
 Guatemala;1,30;325;0,9;
 Ethiopia;1,30;325;0,9;
 Georgia;1,30;325;0,9;
 Panama;1,20;300;0,8;
 Mexico;1,20;300;0,8;
 Cuba;1,20;300;0,8;
 Cape Verde;1,20;300;0,8;
 Hong Kong;1,10;275;0,8;
 Tunisia;1,10;275;0,8;
 Gambia;1,10;275;0,8;
 Ivory Coast;1,00;250;0,7;
 Argentina;1,00;250;0,7;
 Solomon Islands;1,00;250;0,7;
 Oman;1,00;250;0,7;
 Kiribati;1,00;250;0,7;
 Barbados;1,00;250;0,7;
 Morocco;0,90;225;0,6;
 Malaysia;0,90;225;0,6;
 Uruguay;0,90;225;0,6;
 Suriname;0,90;225;0,6;
 Chile;0,80;200;0,5;
 Puerto Rico;0,40;100;0,3;
